name,url,status,owner,repo,kind,archived,disabled,default_branch,pushed_at,last_pr_number,last_pr_created_at,last_pr_merged_at,latest_release_tag,latest_release_at,pushed_last_active_window,pr_last_active_window,release_last_active_window,last_event_at,classification,contributors_count,error
github_com_oeg_upm_bimerr_renovation_measures,https://github.com/oeg-upm/bimerr-renovation-measures,processed,oeg-upm,bimerr-renovation-measures,project,False,False,master,2020-05-22T09:21:15+00:00,,,,,,False,False,False,2020-05-22T09:21:15+00:00,inactive,0,
github_com_oeg_upm_bimerr_renovation_process,https://github.com/oeg-upm/bimerr-renovation-process,processed,oeg-upm,bimerr-renovation-process,project,False,False,main,2021-12-22T17:27:10+00:00,,,,,,False,False,False,2021-12-22T17:27:10+00:00,inactive,0,
github_com_oeg_upm_bimerr_senml,https://github.com/oeg-upm/bimerr-senML,processed,oeg-upm,bimerr-senML,project,False,False,master,2021-10-22T10:27:45+00:00,,,,v0.1.0,2020-10-22T11:01:11+00:00,False,False,False,2021-10-22T10:27:45+00:00,inactive,0,
github_com_oeg_upm_bimerr_weather,https://github.com/oeg-upm/bimerr-weather,processed,oeg-upm,bimerr-weather,project,False,False,master,2021-10-22T10:41:59+00:00,10,2020-04-22T10:21:06+00:00,,,,False,False,False,2021-10-22T10:41:59+00:00,inactive,0,
github_com_oeg_upm_bimerr_website,https://github.com/oeg-upm/bimerr-website,processed,oeg-upm,bimerr-website,project,False,False,master,2021-05-26T11:09:52+00:00,,,,,,False,False,False,2021-05-26T11:09:52+00:00,inactive,0,
github_com_oeg_upm_biotea,https://github.com/oeg-upm/biotea,processed,oeg-upm,biotea,project,False,False,master,2018-10-15T15:24:03+00:00,1,2018-10-15T15:24:02+00:00,,,,False,False,False,2018-10-15T15:24:03+00:00,inactive,0,
github_com_oeg_upm_bo2dm,https://github.com/oeg-upm/BO2DM,processed,oeg-upm,BO2DM,project,False,False,master,2026-05-14T08:38:50+00:00,1,2021-03-20T03:34:35+00:00,,,,True,False,False,2026-05-14T08:38:50+00:00,active,2,
github_com_oeg_upm_brattobio,https://github.com/oeg-upm/BRATtoBIO,processed,oeg-upm,BRATtoBIO,project,False,False,main,2025-05-31T16:06:58+00:00,28,2025-05-31T16:06:45+00:00,2025-05-31T16:06:52+00:00,,,False,False,False,2025-05-31T16:06:58+00:00,low_activity,0,
github_com_oeg_upm_btn100,https://github.com/oeg-upm/btn100,processed,oeg-upm,btn100,project,False,False,master,2023-03-16T11:53:35+00:00,12,2023-03-16T11:53:34+00:00,,,,False,False,False,2023-03-16T11:53:35+00:00,inactive,0,
github_com_oeg_upm_chowlk,https://github.com/oeg-upm/Chowlk,processed,oeg-upm,Chowlk,project,False,False,webservice,2025-04-11T20:44:58+00:00,79,2025-04-11T20:44:45+00:00,2025-04-11T20:44:58+00:00,v0.0.1,2020-12-09T13:39:44+00:00,False,False,False,2025-04-11T20:44:58+00:00,low_activity,0,
github_com_oeg_upm_city4age,https://github.com/oeg-upm/city4age,processed,oeg-upm,city4age,project,False,False,master,2018-03-07T09:37:55+00:00,,,,,,False,False,False,2018-03-07T09:37:55+00:00,inactive,0,
github_com_oeg_upm_cjcyl,https://github.com/oeg-upm/CJCyL,processed,oeg-upm,CJCyL,project,False,False,master,2015-02-06T00:18:22+00:00,,,,,,False,False,False,2015-02-06T00:18:22+00:00,inactive,0,
